0 с,   73.00 м
5971 с,   248350.72 м
5972 с,   248335.90 м
5973 с,   248321.10 м
5974 с,   248306.31 м
5975 с,   248291.54 м
5976 с,   248276.79 м
5977 с,   248262.05 м
5978 с,   248247.33 м
5979 с,   248232.63 м
5980 с,   248217.94 м
5981 с,   248203.27 м
5982 с,   248188.62 м
5983 с,   248173.99 м
5984 с,   248159.38 м
5985 с,   248144.78 м
5986 с,   248130.20 м
5987 с,   248115.64 м
5988 с,   248101.10 м
5989 с,   248086.58 м
5990 с,   248072.08 м
5991 с,   248057.60 м
5992 с,   248043.13 м
5993 с,   248028.69 м
5994 с,   248014.26 м
5995 с,   247999.85 м
5996 с,   247985.47 м
5997 с,   247971.10 м
5998 с,   247956.75 м
5999 с,   247942.43 м
6000 с,   247928.12 м
6001 с,   247913.84 м
6002 с,   247899.57 м
6003 с,   247885.33 м
6004 с,   247871.10 м
6005 с,   247856.90 м
6006 с,   247842.72 м
6007 с,   247828.56 м
6008 с,   247814.42 м
6009 с,   247800.30 м
6010 с,   247786.21 м
6011 с,   247772.14 м
6012 с,   247758.08 м
6013 с,   247744.05 м
6014 с,   247730.05 м
6015 с,   247716.06 м
6016 с,   247702.10 м
6017 с,   247688.16 м
6018 с,   247674.24 м
6019 с,   247660.35 м
6020 с,   247646.48 м
6021 с,   247632.63 м
6022 с,   247618.81 м
6023 с,   247605.01 м
6024 с,   247591.23 м
6025 с,   247577.48 м
6026 с,   247563.75 м
6027 с,   247550.04 м
6028 с,   247536.36 м
6029 с,   247522.71 м
6030 с,   247509.07 м
6031 с,   247495.47 м
6032 с,   247481.88 м
6033 с,   247468.33 м
6034 с,   247454.79 м
6035 с,   247441.28 м
6036 с,   247427.80 м
6037 с,   247414.35 м
6038 с,   247400.91 м
6039 с,   247387.51 м
6040 с,   247374.13 м
6041 с,   247360.77 м
6042 с,   247347.44 м
6043 с,   247334.14 м
6044 с,   247320.87 м
6045 с,   247307.62 м
6046 с,   247294.39 м
6047 с,   247281.20 м
6048 с,   247268.03 м
6049 с,   247254.89 м
6050 с,   247241.77 м
6051 с,   247228.68 м
6052 с,   247215.62 м
6053 с,   247202.59 м
6054 с,   247189.58 м
6055 с,   247176.61 м
6056 с,   247163.66 м
6057 с,   247150.73 м
6058 с,   247137.84 м
6059 с,   247124.97 м
6060 с,   247112.14 м
6061 с,   247099.33 м
6062 с,   247086.55 м
6063 с,   247073.80 м
6064 с,   247061.07 м
6065 с,   247048.38 м
6066 с,   247035.72 м
6067 с,   247023.08 м
6068 с,   247010.48 м
6069 с,   246997.90 м
6070 с,   246985.35 м
6071 с,   246972.84 м
6072 с,   246960.35 м
6073 с,   246947.89 м
6074 с,   246935.46 м
6075 с,   246923.07 м
6076 с,   246910.70 м
6077 с,   246898.37 м
6078 с,   246886.06 м
6079 с,   246873.79 м
6080 с,   246861.54 м
6081 с,   246849.33 м
6082 с,   246837.15 м
6083 с,   246825.00 м
6084 с,   246812.88 м
6085 с,   246800.79 м
6086 с,   246788.74 м
6087 с,   246776.71 м
6088 с,   246764.72 м
6089 с,   246752.76 м
6090 с,   246740.83 м
6091 с,   246728.94 м
6092 с,   246717.07 м
6093 с,   246705.24 м
6094 с,   246693.44 м
6095 с,   246681.67 м
6096 с,   246669.94 м
6097 с,   246658.24 м
6098 с,   246646.57 м
6099 с,   246634.94 м
6100 с,   246623.34 м
6101 с,   246611.77 м
6102 с,   246600.23 м
6103 с,   246588.73 м
6104 с,   246577.26 м
6105 с,   246565.83 м
6106 с,   246554.43 м
6107 с,   246543.07 м
6108 с,   246531.73 м
6109 с,   246520.44 м
6110 с,   246509.17 м
6111 с,   246497.94 м
6112 с,   246486.75 м
6113 с,   246475.59 м
6114 с,   246464.47 м
6115 с,   246453.38 м
6116 с,   246442.32 м
6117 с,   246431.30 м
6118 с,   246420.32 м
6119 с,   246409.37 м
6120 с,   246398.45 м
6121 с,   246387.58 м
6122 с,   246376.73 м
6123 с,   246365.93 м
6124 с,   246355.16 м
6125 с,   246344.42 м
6126 с,   246333.72 м
6127 с,   246323.06 м
6128 с,   246312.43 м
6129 с,   246301.84 м
6130 с,   246291.29 м
6131 с,   246280.77 м
6132 с,   246270.29 м
6133 с,   246259.85 м
6134 с,   246249.44 м
6135 с,   246239.08 м
6136 с,   246228.74 м
6137 с,   246218.45 м
6138 с,   246208.19 м
6139 с,   246197.97 м
6140 с,   246187.79 м
6141 с,   246177.64 м
6142 с,   246167.53 м
6143 с,   246157.47 м
6144 с,   246147.43 м
6145 с,   246137.44 м
6146 с,   246127.48 м
6147 с,   246117.57 м
6148 с,   246107.69 м
6149 с,   246097.85 м
6150 с,   246088.05 м
6151 с,   246078.28 м
6152 с,   246068.56 м
6153 с,   246058.87 м
6154 с,   246049.22 м
6155 с,   246039.62 м
6156 с,   246030.05 м
6157 с,   246020.52 м
6158 с,   246011.03 м
6159 с,   246001.58 м
6160 с,   245992.17 м
6161 с,   245982.79 м
6162 с,   245973.46 м
6163 с,   245964.17 м
6164 с,   245954.92 м
6165 с,   245945.70 м
6166 с,   245936.53 м
6167 с,   245927.40 м
6168 с,   245918.30 м
6169 с,   245909.25 м
6170 с,   245900.24 м
6171 с,   245891.27 м
6172 с,   245882.34 м
6173 с,   245873.45 м
6174 с,   245864.60 м
6175 с,   245855.79 м
6176 с,   245847.02 м
6177 с,   245838.29 м
6178 с,   245829.61 м
6179 с,   245820.96 м
6180 с,   245812.36 м
6181 с,   245803.80 м
6182 с,   245795.28 м
6183 с,   245786.80 м
6184 с,   245778.36 м
6185 с,   245769.96 м
6186 с,   245761.61 м
6187 с,   245753.30 м
6188 с,   245745.03 м
6189 с,   245736.80 м
6190 с,   245728.61 м
6191 с,   245720.47 м
6192 с,   245712.37 м
6193 с,   245704.31 м
6194 с,   245696.29 м
6195 с,   245688.32 м
6196 с,   245680.38 м
6197 с,   245672.49 м
6198 с,   245664.65 м
6199 с,   245656.84 м
6200 с,   245649.08 м
6201 с,   245641.36 м
6202 с,   245633.69 м
6203 с,   245626.06 м
6204 с,   245618.47 м
6205 с,   245610.92 м
6206 с,   245603.42 м
6207 с,   245595.96 м
6208 с,   245588.54 м
6209 с,   245581.17 м
6210 с,   245573.84 м
6211 с,   245566.56 м
6212 с,   245559.32 м
6213 с,   245552.12 м
6214 с,   245544.97 м
6215 с,   245537.86 м
6216 с,   245530.79 м
6217 с,   245523.77 м
6218 с,   245516.79 м
6219 с,   245509.86 м
6220 с,   245502.97 м
6221 с,   245496.13 м
6222 с,   245489.33 м
6223 с,   245482.58 м
6224 с,   245475.86 м
6225 с,   245469.20 м
6226 с,   245462.58 м
6227 с,   245456.00 м
6228 с,   245449.47 м
6229 с,   245442.98 м
6230 с,   245436.54 м
6231 с,   245430.15 м
6232 с,   245423.79 м
6233 с,   245417.49 м
6234 с,   245411.23 м
6235 с,   245405.01 м
6236 с,   245398.84 м
6237 с,   245392.72 м
6238 с,   245386.64 м
6239 с,   245380.60 м
6240 с,   245374.61 м
6241 с,   245368.67 м
6242 с,   245362.77 м
6243 с,   245356.92 м
6244 с,   245351.12 м
6245 с,   245345.36 м
6246 с,   245339.64 м
6247 с,   245333.98 м
6248 с,   245328.36 м
6249 с,   245322.78 м
6250 с,   245317.25 м
6251 с,   245311.77 м
6252 с,   245306.33 м
6253 с,   245300.94 м
6254 с,   245295.60 м
6255 с,   245290.30 м
6256 с,   245285.05 м
6257 с,   245279.84 м
6258 с,   245274.68 м
6259 с,   245269.57 м
6260 с,   245264.51 м
6261 с,   245259.49 м
6262 с,   245254.52 м
6263 с,   245249.59 м
6264 с,   245244.72 м
6265 с,   245239.89 м
6266 с,   245235.10 м
6267 с,   245230.37 м
6268 с,   245225.68 м
6269 с,   245221.03 м
6270 с,   245216.44 м
6271 с,   245211.89 м
6272 с,   245207.39 м
6273 с,   245202.94 м
6274 с,   245198.53 м
6275 с,   245194.17 м
6276 с,   245189.86 м
6277 с,   245185.60 м
6278 с,   245181.38 м
6279 с,   245177.21 м
6280 с,   245173.09 м
6281 с,   245169.02 м
6282 с,   245164.99 м
6283 с,   245161.01 м
6284 с,   245157.08 м
6285 с,   245153.20 м
6286 с,   245149.37 м
6287 с,   245145.58 м
6288 с,   245141.84 м
6289 с,   245138.15 м
6290 с,   245134.51 м
6291 с,   245130.91 м
6292 с,   245127.37 м
6293 с,   245123.87 м
6294 с,   245120.42 м
6295 с,   245117.01 м
6296 с,   245113.66 м
6297 с,   245110.35 м
6298 с,   245107.10 м
6299 с,   245103.89 м
6300 с,   245100.72 м
6301 с,   245097.61 м
6302 с,   245094.55 м
6303 с,   245091.53 м
6304 с,   245088.56 м
6305 с,   245085.64 м
6306 с,   245082.77 м
6307 с,   245079.95 м
6308 с,   245077.18 м
6309 с,   245074.45 м
6310 с,   245071.78 м
6311 с,   245069.15 м
6312 с,   245066.57 м
6313 с,   245064.04 м
6314 с,   245061.56 м
6315 с,   245059.13 м
6316 с,   245056.74 м
6317 с,   245054.41 м
6318 с,   245052.12 м
6319 с,   245049.88 м
6320 с,   245047.69 м
6321 с,   245045.55 м
6322 с,   245043.46 м
6323 с,   245041.42 м
6324 с,   245039.43 м
6325 с,   245037.48 м
6326 с,   245035.59 м
6327 с,   245033.74 м
6328 с,   245031.94 м
6329 с,   245030.20 м
6330 с,   245028.50 м
6331 с,   245026.85 м
6332 с,   245025.24 м
6333 с,   245023.69 м
6334 с,   245022.19 м
6335 с,   245020.74 м
6336 с,   245019.33 м
6337 с,   245017.98 м
6338 с,   245016.67 м
6339 с,   245015.41 м
6340 с,   245014.21 м
6341 с,   245013.05 м
6342 с,   245011.94 м
6343 с,   245010.88 м
6344 с,   245009.87 м
6345 с,   245008.90 м
6346 с,   245007.99 м
6347 с,   245007.13 м
6348 с,   245006.32 м
6349 с,   245005.55 м
6350 с,   245004.84 м
6351 с,   245004.17 м
6352 с,   245003.55 м
6353 с,   245002.99 м
6354 с,   245002.47 м
6355 с,   245002.00 м
6356 с,   245001.58 м
6357 с,   245001.21 м
6358 с,   245000.89 м
6359 с,   245000.62 м
6360 с,   245000.39 м
6361 с,   245000.22 м
6362 с,   245000.10 м
6363 с,   245000.02 м
6364 с,   245000.00 м
6365 с,   245000.02 м
6366 с,   245000.10 м
6367 с,   245000.22 м
6368 с,   245000.39 м
6369 с,   245000.62 м
6370 с,   245000.89 м
6371 с,   245001.21 м
6372 с,   245001.58 м
6373 с,   245002.00 м
6374 с,   245002.47 м
6375 с,   245002.99 м
6376 с,   245003.55 м
6377 с,   245004.17 м
6378 с,   245004.84 м
6379 с,   245005.55 м
6380 с,   245006.32 м
6381 с,   245007.13 м
6382 с,   245007.99 м
6383 с,   245008.90 м
6384 с,   245009.87 м
6385 с,   245010.88 м
6386 с,   245011.94 м
6387 с,   245013.05 м
6388 с,   245014.21 м
6389 с,   245015.41 м
6390 с,   245016.67 м
6391 с,   245017.98 м
6392 с,   245019.33 м
6393 с,   245020.74 м
6394 с,   245022.19 м
6395 с,   245023.69 м
6396 с,   245025.24 м
6397 с,   245026.85 м
6398 с,   245028.50 м
6399 с,   245030.20 м
6400 с,   245031.94 м
6401 с,   245033.74 м
6402 с,   245035.59 м
6403 с,   245037.48 м
6404 с,   245039.43 м
6405 с,   245041.42 м
6406 с,   245043.46 м
6407 с,   245045.55 м
6408 с,   245047.69 м
6409 с,   245049.88 м
6410 с,   245052.12 м
6411 с,   245054.41 м
6412 с,   245056.74 м
6413 с,   245059.13 м
6414 с,   245061.56 м
6415 с,   245064.04 м
6416 с,   245066.57 м
6417 с,   245069.15 м
6418 с,   245071.78 м
6419 с,   245074.45 м
6420 с,   245077.18 м
6421 с,   245079.95 м
6422 с,   245082.77 м
6423 с,   245085.64 м
6424 с,   245088.56 м
6425 с,   245091.53 м
6426 с,   245094.55 м
6427 с,   245097.61 м
6428 с,   245100.72 м
6429 с,   245103.89 м
6430 с,   245107.10 м
6431 с,   245110.35 м
6432 с,   245113.66 м
6433 с,   245117.01 м
6434 с,   245120.42 м
6435 с,   245123.87 м
6436 с,   245127.37 м
6437 с,   245130.91 м
6438 с,   245134.51 м
6439 с,   245138.15 м
6440 с,   245141.84 м
6441 с,   245145.58 м
6442 с,   245149.37 м
6443 с,   245153.20 м
6444 с,   245157.08 м
6445 с,   245161.01 м
6446 с,   245164.99 м
6447 с,   245169.02 м
6448 с,   245173.09 м
6449 с,   245177.21 м
6450 с,   245181.38 м
6451 с,   245185.60 м
6452 с,   245189.86 м
6453 с,   245194.17 м
6454 с,   245198.53 м
6455 с,   245202.94 м
6456 с,   245207.39 м
6457 с,   245211.89 м
6458 с,   245216.44 м
6459 с,   245221.03 м
6460 с,   245225.68 м
6461 с,   245230.37 м
6462 с,   245235.10 м
6463 с,   245239.89 м
6464 с,   245244.72 м
6465 с,   245249.59 м
6466 с,   245254.52 м
6467 с,   245259.49 м
6468 с,   245264.51 м
6469 с,   245269.57 м
6470 с,   245274.68 м
6471 с,   245279.84 м
6472 с,   245285.05 м
6473 с,   245290.30 м
6474 с,   245295.60 м
6475 с,   245300.94 м
6476 с,   245306.33 м
6477 с,   245311.77 м
6478 с,   245317.25 м
6479 с,   245322.78 м
6480 с,   245328.36 м
6481 с,   245333.98 м
6482 с,   245339.64 м
6483 с,   245345.36 м
6484 с,   245351.12 м
6485 с,   245356.92 м
6486 с,   245362.77 м
6487 с,   245368.67 м
6488 с,   245374.61 м
6489 с,   245380.60 м
6490 с,   245386.64 м
6491 с,   245392.72 м
6492 с,   245398.84 м
6493 с,   245405.01 м
6494 с,   245411.23 м
6495 с,   245417.49 м
6496 с,   245423.79 м
6497 с,   245430.15 м
6498 с,   245436.54 м
6499 с,   245442.98 м
6500 с,   245449.47 м
6501 с,   245456.00 м
6502 с,   245462.58 м
6503 с,   245469.20 м
6504 с,   245475.86 м
6505 с,   245482.58 м
6506 с,   245489.33 м
6507 с,   245496.13 м
6508 с,   245502.97 м
6509 с,   245509.86 м
6510 с,   245516.79 м
6511 с,   245523.77 м
6512 с,   245530.79 м
6513 с,   245537.86 м
6514 с,   245544.97 м
6515 с,   245552.12 м
6516 с,   245559.32 м
6517 с,   245566.56 м
6518 с,   245573.84 м
6519 с,   245581.17 м
6520 с,   245588.54 м
6521 с,   245595.96 м
6522 с,   245603.42 м
6523 с,   245610.92 м
6524 с,   245618.47 м
6525 с,   245626.06 м
6526 с,   245633.69 м
6527 с,   245641.36 м
6528 с,   245649.08 м
6529 с,   245656.84 м
6530 с,   245664.65 м
6531 с,   245672.49 м
6532 с,   245680.38 м
6533 с,   245688.32 м
6534 с,   245696.29 м
6535 с,   245704.31 м
6536 с,   245712.37 м
6537 с,   245720.47 м
6538 с,   245728.61 м
6539 с,   245736.80 м
6540 с,   245745.03 м
6541 с,   245753.30 м
6542 с,   245761.61 м
6543 с,   245769.96 м
6544 с,   245778.36 м
6545 с,   245786.80 м
6546 с,   245795.28 м
6547 с,   245803.80 м
6548 с,   245812.36 м
6549 с,   245820.96 м
6550 с,   245829.61 м
6551 с,   245838.29 м
6552 с,   245847.02 м
6553 с,   245855.79 м
6554 с,   245864.60 м
6555 с,   245873.45 м
6556 с,   245882.34 м
6557 с,   245891.27 м
6558 с,   245900.24 м
6559 с,   245909.25 м
6560 с,   245918.30 м
6561 с,   245927.40 м
6562 с,   245936.53 м
6563 с,   245945.70 м
6564 с,   245954.92 м
6565 с,   245964.17 м
6566 с,   245973.46 м
6567 с,   245982.79 м
6568 с,   245992.17 м
6569 с,   246001.58 м
6570 с,   246011.03 м
6571 с,   246020.52 м
6572 с,   246030.05 м
6573 с,   246039.62 м
6574 с,   246049.22 м
6575 с,   246058.87 м
6576 с,   246068.56 м
6577 с,   246078.28 м
6578 с,   246088.05 м
6579 с,   246097.85 м
6580 с,   246107.69 м
6581 с,   246117.57 м
6582 с,   246127.48 м
6583 с,   246137.44 м
6584 с,   246147.43 м
6585 с,   246157.47 м
6586 с,   246167.53 м
6587 с,   246177.64 м
6588 с,   246187.79 м
6589 с,   246197.97 м
6590 с,   246208.19 м
6591 с,   246218.45 м
6592 с,   246228.74 м
6593 с,   246239.08 м
6594 с,   246249.44 м
6595 с,   246259.85 м
6596 с,   246270.29 м
6597 с,   246280.77 м
6598 с,   246291.29 м
6599 с,   246301.84 м
6600 с,   246312.43 м
6601 с,   246323.06 м
6602 с,   246333.72 м
6603 с,   246344.42 м
6604 с,   246355.16 м
6605 с,   246365.93 м
6606 с,   246376.73 м
6607 с,   246387.58 м
6608 с,   246398.45 м
6609 с,   246409.37 м
6610 с,   246420.32 м
6611 с,   246431.30 м
6612 с,   246442.32 м
6613 с,   246453.38 м
6614 с,   246464.47 м
6615 с,   246475.59 м
6616 с,   246486.75 м
6617 с,   246497.94 м
6618 с,   246509.17 м
6619 с,   246520.44 м
6620 с,   246531.73 м
6621 с,   246543.07 м
6622 с,   246554.43 м
6623 с,   246565.83 м
6624 с,   246577.26 м
6625 с,   246588.73 м
6626 с,   246600.23 м
6627 с,   246611.77 м
6628 с,   246623.34 м
6629 с,   246634.94 м
6630 с,   246646.57 м
6631 с,   246658.24 м
6632 с,   246669.94 м
6633 с,   246681.67 м
6634 с,   246693.44 м
6635 с,   246705.24 м
6636 с,   246717.07 м
6637 с,   246728.94 м
6638 с,   246740.83 м
6639 с,   246752.76 м
6640 с,   246764.72 м
6641 с,   246776.71 м
6642 с,   246788.74 м
6643 с,   246800.79 м
6644 с,   246812.88 м
6645 с,   246825.00 м
6646 с,   246837.15 м
6647 с,   246849.33 м
6648 с,   246861.54 м
6649 с,   246873.79 м
6650 с,   246886.06 м
6651 с,   246898.37 м
6652 с,   246910.70 м
6653 с,   246923.07 м
6654 с,   246935.46 м
6655 с,   246947.89 м
6656 с,   246960.35 м
6657 с,   246972.84 м
6658 с,   246985.35 м
6659 с,   246997.90 м
6660 с,   247010.48 м
6661 с,   247023.08 м
6662 с,   247035.72 м
6663 с,   247048.38 м
6664 с,   247061.07 м
6665 с,   247073.80 м
6666 с,   247086.55 м
6667 с,   247099.33 м
6668 с,   247112.14 м
6669 с,   247124.97 м
6670 с,   247137.84 м
6671 с,   247150.73 м
6672 с,   247163.66 м
6673 с,   247176.61 м
6674 с,   247189.58 м
6675 с,   247202.59 м
6676 с,   247215.62 м
6677 с,   247228.68 м
6678 с,   247241.77 м
6679 с,   247254.89 м
6680 с,   247268.03 м
6681 с,   247281.20 м
6682 с,   247294.39 м
6683 с,   247307.62 м
6684 с,   247320.87 м
6685 с,   247334.14 м
6686 с,   247347.44 м
6687 с,   247360.77 м
6688 с,   247374.13 м
6689 с,   247387.51 м
6690 с,   247400.91 м
6691 с,   247414.35 м
6692 с,   247427.80 м
6693 с,   247441.28 м
6694 с,   247454.79 м
6695 с,   247468.33 м
6696 с,   247481.88 м
6697 с,   247495.47 м
6698 с,   247509.07 м
6699 с,   247522.71 м
6700 с,   247536.36 м
6701 с,   247550.04 м
6702 с,   247563.75 м
6703 с,   247577.48 м
6704 с,   247591.23 м
6705 с,   247605.01 м
6706 с,   247618.81 м
6707 с,   247632.63 м
6708 с,   247646.48 м
6709 с,   247660.35 м
6710 с,   247674.24 м
6711 с,   247688.16 м
6712 с,   247702.10 м
6713 с,   247716.06 м
6714 с,   247730.05 м
6715 с,   247744.05 м
6716 с,   247758.08 м
6717 с,   247772.14 м
6718 с,   247786.21 м
6719 с,   247800.30 м
6720 с,   247814.42 м
6721 с,   247828.56 м
6722 с,   247842.72 м
6723 с,   247856.90 м
6724 с,   247871.10 м
6725 с,   247885.33 м
6726 с,   247899.57 м
6727 с,   247913.84 м
6728 с,   247928.12 м
6729 с,   247942.43 м
6730 с,   247956.75 м
6731 с,   247971.10 м
6732 с,   247985.47 м
6733 с,   247999.85 м
6734 с,   248014.26 м
6735 с,   248028.69 м
6736 с,   248043.13 м
6737 с,   248057.60 м
6738 с,   248072.08 м
6739 с,   248086.58 м
6740 с,   248101.10 м
6741 с,   248115.64 м
6742 с,   248130.20 м
6743 с,   248144.78 м
6744 с,   248159.38 м
6745 с,   248173.99 м
6746 с,   248188.62 м
6747 с,   248203.27 м
6748 с,   248217.94 м
6749 с,   248232.63 м
6750 с,   248247.33 м
6751 с,   248262.05 м
6752 с,   248276.79 м
6753 с,   248291.54 м
6754 с,   248306.31 м
6755 с,   248321.10 м
6756 с,   248335.90 м
6757 с,   248350.72 м
6758 с,   248365.56 м
6759 с,   248380.41 м
6760 с,   248395.28 м
6761 с,   248410.17 м
6762 с,   248425.07 м
6763 с,   248439.98 м
6764 с,   248454.92 м
6765 с,   248469.86 м
6766 с,   248484.82 м
6767 с,   248499.80 м
6768 с,   248514.79 м
6769 с,   248529.80 м
6770 с,   248544.82 м
6771 с,   248559.85 м
6772 с,   248574.90 м
6773 с,   248589.97 м
6774 с,   248605.04 м
6775 с,   248620.14 м
6776 с,   248635.24 м
6777 с,   248650.36 м
6778 с,   248665.49 м
6779 с,   248680.63 м
6780 с,   248695.79 м
6781 с,   248710.96 м
6782 с,   248726.15 м
6783 с,   248741.34 м
6784 с,   248756.55 м
6785 с,   248771.77 м
6786 с,   248787.00 м
6787 с,   248802.25 м
6788 с,   248817.51 м
6789 с,   248832.77 м
6790 с,   248848.05 м
6791 с,   248863.34 м
6792 с,   248878.65 м
6793 с,   248893.96 м
6794 с,   248909.28 м
6795 с,   248924.62 м
6796 с,   248939.96 м
6797 с,   248955.32 м
6798 с,   248970.69 м
6799 с,   248986.06 м
6800 с,   249001.45 м
6801 с,   249016.85 м
6802 с,   249032.25 м
6803 с,   249047.67 м
6804 с,   249063.09 м
6805 с,   249078.53 м
6806 с,   249093.97 м
6807 с,   249109.42 м
6808 с,   249124.88 м
6809 с,   249140.35 м
6810 с,   249155.83 м
6811 с,   249171.32 м
6812 с,   249186.81 м
6813 с,   249202.32 м
6814 с,   249217.83 м
6815 с,   249233.35 м
6816 с,   249248.87 м
6817 с,   249264.41 м
6818 с,   249279.95 м
6819 с,   249295.49 м
6820 с,   249311.05 м
6821 с,   249326.61 м
6822 с,   249342.18 м
6823 с,   249357.75 м
6824 с,   249373.33 м
6825 с,   249388.92 м
6826 с,   249404.51 м
6827 с,   249420.11 м
6828 с,   249435.72 м
6829 с,   249451.33 м
6830 с,   249466.94 м
6831 с,   249482.57 м
6832 с,   249498.19 м
6833 с,   249513.82 м
6834 с,   249529.46 м
6835 с,   249545.10 м
6836 с,   249560.74 м
6837 с,   249576.39 м
6838 с,   249592.05 м
6839 с,   249607.70 м
6840 с,   249623.37 м
6841 с,   249639.03 м
6842 с,   249654.70 м
6843 с,   249670.37 м
6844 с,   249686.05 м
6845 с,   249701.73 м
6846 с,   249717.41 м
6847 с,   249733.09 м
6848 с,   249748.78 м
6849 с,   249764.47 м
6850 с,   249780.16 м
6851 с,   249795.85 м
6852 с,   249811.55 м
6853 с,   249827.25 м
6854 с,   249842.95 м
6855 с,   249858.65 м
6856 с,   249874.35 м
6857 с,   249890.05 м
6858 с,   249905.76 м
6859 с,   249921.46 м
6860 с,   249937.17 м
6861 с,   249952.88 м
6862 с,   249968.58 м
6863 с,   249984.29 м
6864 с,   250000.00 м
6865 с,   250015.71 м
6866 с,   250031.42 м
6867 с,   250047.12 м
6868 с,   250062.83 м
6869 с,   250078.54 м
6870 с,   250094.24 м
6871 с,   250109.95 м
6872 с,   250125.65 м
6873 с,   250141.35 м
6874 с,   250157.05 м
6875 с,   250172.75 м
6876 с,   250188.45 м
6877 с,   250204.15 м
6878 с,   250219.84 м
6879 с,   250235.53 м
6880 с,   250251.22 м
6881 с,   250266.91 м
6882 с,   250282.59 м
6883 с,   250298.27 м
6884 с,   250313.95 м
6885 с,   250329.63 м
6886 с,   250345.30 м
6887 с,   250360.97 м
6888 с,   250376.63 м
6889 с,   250392.30 м
6890 с,   250407.95 м
6891 с,   250423.61 м
6892 с,   250439.26 м
6893 с,   250454.90 м
6894 с,   250470.54 м
6895 с,   250486.18 м
6896 с,   250501.81 м
6897 с,   250517.43 м
6898 с,   250533.06 м
6899 с,   250548.67 м
6900 с,   250564.28 м
6901 с,   250579.89 м
6902 с,   250595.49 м
6903 с,   250611.08 м
6904 с,   250626.67 м
6905 с,   250642.25 м
6906 с,   250657.82 м
6907 с,   250673.39 м
6908 с,   250688.95 м
6909 с,   250704.51 м
6910 с,   250720.05 м
6911 с,   250735.59 м
6912 с,   250751.13 м
6913 с,   250766.65 м
6914 с,   250782.17 м
6915 с,   250797.68 м
6916 с,   250813.19 м
6917 с,   250828.68 м
6918 с,   250844.17 м
6919 с,   250859.65 м
6920 с,   250875.12 м
6921 с,   250890.58 м
6922 с,   250906.03 м
6923 с,   250921.47 м
6924 с,   250936.91 м
6925 с,   250952.33 м
6926 с,   250967.75 м
6927 с,   250983.15 м
6928 с,   250998.55 м
6929 с,   251013.94 м
6930 с,   251029.31 м
6931 с,   251044.68 м
6932 с,   251060.04 м
6933 с,   251075.38 м
6934 с,   251090.72 м
6935 с,   251106.04 м
6936 с,   251121.35 м
6937 с,   251136.66 м
6938 с,   251151.95 м
6939 с,   251167.23 м
6940 с,   251182.49 м
6941 с,   251197.75 м
6942 с,   251213.00 м
6943 с,   251228.23 м
6944 с,   251243.45 м
6945 с,   251258.66 м
6946 с,   251273.85 м
6947 с,   251289.04 м
6948 с,   251304.21 м
6949 с,   251319.37 м
6950 с,   251334.51 м
6951 с,   251349.64 м
6952 с,   251364.76 м
6953 с,   251379.86 м
6954 с,   251394.96 м
6955 с,   251410.03 м
6956 с,   251425.10 м
6957 с,   251440.15 м
6958 с,   251455.18 м
6959 с,   251470.20 м
6960 с,   251485.21 м
6961 с,   251500.20 м
6962 с,   251515.18 м
6963 с,   251530.14 м
6964 с,   251545.08 м
6965 с,   251560.02 м
6966 с,   251574.93 м
6967 с,   251589.83 м
6968 с,   251604.72 м
6969 с,   251619.59 м
6970 с,   251634.44 м
6971 с,   251649.28 м
6972 с,   251664.10 м
6973 с,   251678.90 м
6974 с,   251693.69 м
6975 с,   251708.46 м
6976 с,   251723.21 м
6977 с,   251737.95 м
6978 с,   251752.67 м
6979 с,   251767.37 м
6980 с,   251782.06 м
6981 с,   251796.73 м
6982 с,   251811.38 м
6983 с,   251826.01 м
6984 с,   251840.62 м
6985 с,   251855.22 м
6986 с,   251869.80 м
6987 с,   251884.36 м
6988 с,   251898.90 м
6989 с,   251913.42 м
6990 с,   251927.92 м
6991 с,   251942.40 м
6992 с,   251956.87 м
6993 с,   251971.31 м
6994 с,   251985.74 м
6995 с,   252000.15 м
6996 с,   252014.53 м
6997 с,   252028.90 м
6998 с,   252043.25 м
6999 с,   252057.57 м
7000 с,   252071.88 м
7001 с,   252086.16 м
7002 с,   252100.43 м
7003 с,   252114.67 м
7004 с,   252128.90 м
7005 с,   252143.10 м
7006 с,   252157.28 м
7007 с,   252171.44 м
7008 с,   252185.58 м
7009 с,   252199.70 м
7010 с,   252213.79 м
7011 с,   252227.86 м
7012 с,   252241.92 м
7013 с,   252255.95 м
7014 с,   252269.95 м
7015 с,   252283.94 м
7016 с,   252297.90 м
7017 с,   252311.84 м
7018 с,   252325.76 м
7019 с,   252339.65 м
7020 с,   252353.52 м
7021 с,   252367.37 м
7022 с,   252381.19 м
7023 с,   252394.99 м
7024 с,   252408.77 м
7025 с,   252422.52 м
7026 с,   252436.25 м
7027 с,   252449.96 м
7028 с,   252463.64 м
7029 с,   252477.29 м
7030 с,   252490.93 м
7031 с,   252504.53 м
7032 с,   252518.12 м
7033 с,   252531.67 м
7034 с,   252545.21 м
7035 с,   252558.72 м
7036 с,   252572.20 м
7037 с,   252585.65 м
7038 с,   252599.09 м
7039 с,   252612.49 м
7040 с,   252625.87 м
7041 с,   252639.23 м
7042 с,   252652.56 м
7043 с,   252665.86 м
7044 с,   252679.13 м
7045 с,   252692.38 м
7046 с,   252705.61 м
